Time,G1 - Min,G1 - Max,G1 - Cost
07/01/2019 07.00,0,1600,0.05295
07/01/2019 08.00,0,1600,0.05344
07/01/2019 09.00,0,1600,0.05345
07/01/2019 10.00,0,1600,0.05349
07/01/2019 11.00,0,1600,0.05362
07/01/2019 12.00,0,1600,0.05367
07/01/2019 13.00,0,1600,0.05386
07/01/2019 14.00,0,1600,0.05373
07/01/2019 15.00,0,1600,0.05325
07/01/2019 16.00,0,1600,0.05326
07/01/2019 17.00,0,1600,0.053
07/01/2019 18.00,0,1600,0.05132
07/01/2019 19.00,0,1600,0.05089
07/01/2019 20.00,0,1600,0.0506
07/01/2019 21.00,0,1600,0.05003
07/01/2019 22.00,0,1600,0.04911
07/01/2019 23.00,0,1600,0.04675
08/01/2019 00.00,0,1600,0.04694
08/01/2019 01.00,0,1600,0.04634
08/01/2019 02.00,0,1600,0.04624
08/01/2019 03.00,0,1600,0.04628
08/01/2019 04.00,0,1600,0.0467
08/01/2019 05.00,0,1600,0.04786
08/01/2019 06.00,0,1600,0.05008
08/01/2019 07.00,0,1600,0.05131
08/01/2019 08.00,0,1600,0.0517
08/01/2019 09.00,0,1600,0.05148
08/01/2019 10.00,0,1600,0.05148
08/01/2019 11.00,0,1600,0.05121
08/01/2019 12.00,0,1600,0.05088
08/01/2019 13.00,0,1600,0.05063
08/01/2019 14.00,0,1600,0.0507
08/01/2019 15.00,0,1600,0.05069
08/01/2019 16.00,0,1600,0.05115
08/01/2019 17.00,0,1600,0.05105
08/01/2019 18.00,0,1600,0.05062
08/01/2019 19.00,0,1600,0.04998
08/01/2019 20.00,0,1600,0.04971
08/01/2019 21.00,0,1600,0.04949
08/01/2019 22.00,0,1600,0.04903
08/01/2019 23.00,0,1600,0.04645
09/01/2019 00.00,0,1600,0.04575
09/01/2019 01.00,0,1600,0.04441
09/01/2019 02.00,0,1600,0.04387
09/01/2019 03.00,0,1600,0.04393
09/01/2019 04.00,0,1600,0.04555
09/01/2019 05.00,0,1600,0.04803
09/01/2019 06.00,0,1600,0.04946
09/01/2019 07.00,0,1600,0.05074
09/01/2019 08.00,0,1600,0.05098
09/01/2019 09.00,0,1600,0.05094
09/01/2019 10.00,0,1600,0.05102
09/01/2019 11.00,0,1600,0.05096
09/01/2019 12.00,0,1600,0.05076
09/01/2019 13.00,0,1600,0.05069
09/01/2019 14.00,0,1600,0.05088
09/01/2019 15.00,0,1600,0.05142
09/01/2019 16.00,0,1600,0.05369
09/01/2019 17.00,0,1600,0.05459
09/01/2019 18.00,0,1600,0.05419
09/01/2019 19.00,0,1600,0.05419
09/01/2019 20.00,0,1600,0.05298
09/01/2019 21.00,0,1600,0.05168
09/01/2019 22.00,0,1600,0.05096
09/01/2019 23.00,0,1600,0.04996
10/01/2019 00.00,0,1600,0.05051
10/01/2019 01.00,0,1600,0.04998
10/01/2019 02.00,0,1600,0.04955
10/01/2019 03.00,0,1600,0.04998
10/01/2019 04.00,0,1600,0.04994
10/01/2019 05.00,0,1600,0.0519
10/01/2019 06.00,0,1600,0.05073
10/01/2019 07.00,0,1600,0.05043
10/01/2019 08.00,0,1600,0.05056
10/01/2019 09.00,0,1600,0.05045
10/01/2019 10.00,0,1600,0.05024
10/01/2019 11.00,0,1600,0.05022
10/01/2019 12.00,0,1600,0.05011
10/01/2019 13.00,0,1600,0.05013
10/01/2019 14.00,0,1600,0.05002
10/01/2019 15.00,0,1600,0.04996
10/01/2019 16.00,0,1600,0.04987
10/01/2019 17.00,0,1600,0.04993
10/01/2019 18.00,0,1600,0.04992
10/01/2019 19.00,0,1600,0.04988
10/01/2019 20.00,0,1600,0.0499
10/01/2019 21.00,0,1600,0.05014
10/01/2019 22.00,0,1600,0.04999
10/01/2019 23.00,0,1600,0.04811
11/01/2019 00.00,0,1600,0.04784
11/01/2019 01.00,0,1600,0.04658
11/01/2019 02.00,0,1600,0.04574
11/01/2019 03.00,0,1600,0.04381
11/01/2019 04.00,0,1600,0.04624
11/01/2019 05.00,0,1600,0.04769
11/01/2019 06.00,0,1600,0.05
11/01/2019 07.00,0,1600,0.04974
11/01/2019 08.00,0,1600,0.04996
11/01/2019 09.00,0,1600,0.04996
11/01/2019 10.00,0,1600,0.04976
11/01/2019 11.00,0,1600,0.04964
11/01/2019 12.00,0,1600,0.04964
11/01/2019 13.00,0,1600,0.04953
11/01/2019 14.00,0,1600,0.04926
11/01/2019 15.00,0,1600,0.04907
11/01/2019 16.00,0,1600,0.04954
11/01/2019 17.00,0,1600,0.04945
11/01/2019 18.00,0,1600,0.04949
11/01/2019 19.00,0,1600,0.04954
11/01/2019 20.00,0,1600,0.04893
11/01/2019 21.00,0,1600,0.04834
11/01/2019 22.00,0,1600,0.04754
11/01/2019 23.00,0,1600,0.04503
12/01/2019 00.00,0,1600,0.04724
12/01/2019 01.00,0,1600,0.04588
12/01/2019 02.00,0,1600,0.04461
12/01/2019 03.00,0,1600,0.0429
12/01/2019 04.00,0,1600,0.04203
12/01/2019 05.00,0,1600,0.042
12/01/2019 06.00,0,1600,0.04406
12/01/2019 07.00,0,1600,0.04639
12/01/2019 08.00,0,1600,0.04802
12/01/2019 09.00,0,1600,0.04991
12/01/2019 10.00,0,1600,0.0503
12/01/2019 11.00,0,1600,0.05032
12/01/2019 12.00,0,1600,0.05032
12/01/2019 13.00,0,1600,0.04995
12/01/2019 14.00,0,1600,0.05009
12/01/2019 15.00,0,1600,0.05082
