Time,W1 - Min,W1 - Max,W1 - Cost
07/01/2019 23.00,0,388.688,0
08/01/2019 00.00,0,384.097,0
08/01/2019 01.00,0,390.19,0
08/01/2019 02.00,0,386.591,0
08/01/2019 03.00,0,370.303,0
08/01/2019 04.00,0,317.722,0
08/01/2019 05.00,0,314.376,0
08/01/2019 06.00,0,369.391,0
08/01/2019 07.00,0,390.383,0
08/01/2019 08.00,0,408.365,0
08/01/2019 09.00,0,427.244,0
08/01/2019 10.00,0,415.706,0
08/01/2019 11.00,0,410.454,0
08/01/2019 12.00,0,430.91,0
08/01/2019 13.00,0,451.181,0
08/01/2019 14.00,0,464.927,0
08/01/2019 15.00,0,471.415,0
08/01/2019 16.00,0,475.867,0
08/01/2019 17.00,0,476.556,0
08/01/2019 18.00,0,474.897,0
08/01/2019 19.00,0,474.112,0
08/01/2019 20.00,0,472.403,0
08/01/2019 21.00,0,471.199,0
08/01/2019 22.00,0,472.72,0
08/01/2019 23.00,0,470.061,0
09/01/2019 00.00,0,467.571,0
09/01/2019 01.00,0,466.136,0
09/01/2019 02.00,0,465.052,0
09/01/2019 03.00,0,461.485,0
09/01/2019 04.00,0,456.359,0
09/01/2019 05.00,0,452.831,0
09/01/2019 06.00,0,451.188,0
09/01/2019 07.00,0,451.201,0
09/01/2019 08.00,0,447.461,0
09/01/2019 09.00,0,442.611,0
09/01/2019 10.00,0,438.918,0
09/01/2019 11.00,0,434.063,0
09/01/2019 12.00,0,427.892,0
09/01/2019 13.00,0,414.449,0
09/01/2019 14.00,0,390.952,0
09/01/2019 15.00,0,366.399,0
09/01/2019 16.00,0,327.906,0
09/01/2019 17.00,0,296.049,0
09/01/2019 18.00,0,268.873,0
09/01/2019 19.00,0,245.711,0
09/01/2019 20.00,0,215.473,0
09/01/2019 21.00,0,188.116,0
09/01/2019 22.00,0,157.211,0
09/01/2019 23.00,0,129.532,0
10/01/2019 00.00,0,113.072,0
10/01/2019 01.00,0,104.84,0
10/01/2019 02.00,0,96.438,0
10/01/2019 03.00,0,94.358,0
10/01/2019 04.00,0,90.658,0
10/01/2019 05.00,0,85.15,0
10/01/2019 06.00,0,75.835,0
10/01/2019 07.00,0,63.735,0
10/01/2019 08.00,0,56.166,0
10/01/2019 09.00,0,45.516,0
10/01/2019 10.00,0,38.219,0
10/01/2019 11.00,0,44.773,0
10/01/2019 12.00,0,60.787,0
10/01/2019 13.00,0,82.049,0
10/01/2019 14.00,0,109.663,0
10/01/2019 15.00,0,134.452,0
10/01/2019 16.00,0,155.624,0
10/01/2019 17.00,0,177.517,0
10/01/2019 18.00,0,204.697,0
10/01/2019 19.00,0,210.06,0
10/01/2019 20.00,0,206.374,0
10/01/2019 21.00,0,209.031,0
10/01/2019 22.00,0,215.851,0
10/01/2019 23.00,0,215.529,0
11/01/2019 00.00,0,217.78,0
11/01/2019 01.00,0,237.978,0
11/01/2019 02.00,0,261.31,0
11/01/2019 03.00,0,282.897,0
11/01/2019 04.00,0,300.046,0
11/01/2019 05.00,0,309.69,0
11/01/2019 06.00,0,328.11,0
11/01/2019 07.00,0,341.498,0
11/01/2019 08.00,0,361.075,0
11/01/2019 09.00,0,377.387,0
11/01/2019 10.00,0,379.595,0
11/01/2019 11.00,0,381.715,0
11/01/2019 12.00,0,371.927,0
11/01/2019 13.00,0,370.154,0
11/01/2019 14.00,0,362.812,0
11/01/2019 15.00,0,337.036,0
11/01/2019 16.00,0,288.861,0
11/01/2019 17.00,0,250.739,0
11/01/2019 18.00,0,233.201,0
11/01/2019 19.00,0,224.703,0
11/01/2019 20.00,0,220.199,0
11/01/2019 21.00,0,215.945,0
